DATE	CPI: All items	CPI: All items less food and energy	CPI: Apparel	CPI: Cereals and bakery products	CPI: Communication	CPI: Dairy and related products	CPI: Education	CPI: Electricity	CPI: Energy	CPI: Food and Beverages	CPI: Food at home	CPI: Food away from home	CPI: Fruits and vegetables	CPI: Full service meals and snacks	CPI: Gasoline (all types)	CPI: Hospital Services	CPI: Housing	CPI: Limited service meals and snacks	CPI: Meats, poultry, fish, and eggs	CPI: Medical Care	CPI: New Vehicles	CPI: Nonalcoholic beverages and bev. materials	CPI: Other food at home	CPI: Physicians' Services	CPI: Prescription Drugs	CPI: Recreation	CPI: Shelter	CPI: Transportation	CPI: Used Cars and Trucks	CPI: Utility (piped) gas service
2014-01-06	233.916	235.367	124.275	271.151	82.571	219.362	228.373	203.026	239.551	238.792	235.356	245.481	292.095	152.967	286.607	272.485	230.256	156.188	240.158	429.621	145.88	167.039	204.575	356.796	446.766	115.275	266.754	213.45	147.386	179.982
2014-02-01	234.781	236.075	125.493	270.583	82.474	220.861	228.835	202.224	242.041	239.476	236.114	246.187	292.54	153.597	289.814	276.555	230.905	156.486	242.386	432.769	146.421	165.98	205.554	356.939	453.121	115.656	267.418	214.673	147.616	186.095
2014-03-01	236.293	236.913	128.888	270.66	82.495	223.063	229.061	204.131	250.543	240.226	236.973	246.878	292.944	153.979	304.464	277.974	231.968	156.98	245.301	433.369	146.348	165.703	205.366	357.465	452.12	115.763	268.431	218.435	148.92	199.34
2014-04-01	237.072	237.509	129.629	271.005	82.612	224.171	229.237	198.654	252.717	241.103	238.103	247.534	294.509	154.198	315.335	278.496	231.689	157.548	249.29	434.054	146.724	165.387	205.091	358.415	453.012	116.042	268.899	221.972	150.496	196.872
2014-05-01	237.9	238.029	128.963	271.362	82.47	225.491	229.576	206.715	255.982	242.065	239.504	247.952	298.626	154.563	317.434	278.568	232.744	157.721	251.825	434.874	146.708	164.64	205.866	359.547	454.359	116.018	269.766	223.392	151.441	192.303
2014-06-01	238.343	238.157	127.302	270.86	82.386	224.522	229.983	217.529	259.858	242.027	239.147	248.445	295.139	154.889	318.334	278.695	233.894	158.005	252.865	435.352	146.067	164.7	205.996	359.056	457.609	116.037	270.314	223.543	151.978	188.769
2014-07-01	238.25	238.138	124.645	271.993	82.378	225.14	230.807	217.93	257.907	242.674	239.82	249.21	293.535	155.562	313.514	279.587	234.475	158.433	253.767	435.924	146.086	165.211	207.39	358.585	459.832	115.838	271.115	221.867	152.857	189.659
2014-08-01	237.852	238.296	125.726	272.108	82.229	226.39	233.634	217.148	250.951	243.497	240.723	249.801	291.169	156.007	300.64	278.608	234.571	158.856	258.416	435.777	145.873	165.613	207.271	359.967	460.837	115.311	271.675	218.279	153.277	183.96
2014-09-01	238.031	238.841	130.324	270.66	82.071	227.604	235.378	215.054	247.077	244.26	241.578	250.57	293.282	156.31	294.222	279.54	234.675	159.439	260.805	436.575	145.88	166.08	207.287	359.879	461.87	115.286	272.165	216.383	151.153	183.376
2014-10-01	237.433	239.413	131.961	271.313	81.389	228.831	235.92	206.667	234.745	244.775	242.121	251.1	297.528	156.627	275.729	280.496	234.434	159.849	259.84	437.027	146.306	167.35	206.46	359.855	464.368	115.394	272.788	212.626	147.893	179.226
2014-11-01	236.151	239.248	129.023	270.344	81.002	228.412	236.098	202.889	221.844	244.902	241.576	251.987	293.978	157.074	251.172	281.491	234.315	160.602	260.457	438.445	146.481	167.511	206.21	361.001	466.447	115.026	273.233	206.874	144.151	178.558
2014-12-01	234.812	238.775	123.942	270.635	80.681	229.87	236.066	204.275	209.785	245.585	242.457	252.628	297.429	157.454	223.404	282.547	234.658	161.08	261.055	439.72	146.524	166.978	206.831	361.659	469.778	114.875	273.598	199.777	141.957	182.908
2015-01-01	233.707	239.248	122.527	273.589	80.667	227.8	236.82	208.172	192.619	246.1	243.123	253.037	298.781	157.604	185.142	284.225	235.485	161.489	260.982	440.969	146.558	168.603	207.218	362.74	471.754	115.288	274.589	190.871	141.461	179.184
2015-02-01	234.722	240.083	124.457	273.052	80.62	225.535	236.814	208.696	196.597	246.269	242.906	253.719	295.686	157.885	194.883	286.308	236.016	161.996	260.863	442.783	147.345	168.901	208.954	361.242	476.638	115.593	275.39	193.944	143.39	173.978
2015-03-01	236.119	241.067	128.245	273.812	80.432	224.449	237.447	205.894	204.731	245.689	241.588	254.108	289.858	158.131	215.442	287.42	236.435	162.169	260.077	444.02	147.574	167.706	208.463	363.531	478.076	115.835	276.36	199.363	147.023	170.592
2015-04-01	236.599	241.802	128.593	273.366	80.422	222.691	238.003	206.179	203.715	245.746	241.305	254.727	290.178	158.515	215.461	291.775	236.777	162.55	258.991	446.663	147.844	168.401	208.648	365.146	478.206	116.045	276.978	200.245	149.788	164.839
2015-05-01	237.805	242.119	127.083	273.595	80.015	221.039	238.219	207.683	214.33	245.846	241.019	255.322	293.011	158.711	238.17	292.257	237.175	163.041	257.106	447.213	147.889	166.795	209.272	365.214	478.566	116.19	277.563	206.386	150.713	162.639
2015-06-01	238.638	242.354	124.954	274.479	79.906	219.696	238.669	217.468	220.861	246.245	241.494	255.846	288.968	159.282	244.226	288.959	238.568	163.02	261.189	446.271	147.845	166.824	209.787	366.541	479.642	116.395	278.461	208.012	150.97	164.205
2015-07-01	238.654	242.436	122.607	275.526	79.793	221.443	239.68	216.406	219.852	246.558	241.993	255.905	287.816	159.713	243.736	288.895	239.085	163.251	261.639	446.773	147.154	167.421	210.251	367.45	480.21	116.355	279.559	207.218	151.119	162.733
2015-08-01	238.316	242.651	124.547	274.968	79.832	220.716	242.076	215.786	213.248	247.196	242.746	256.449	291.344	159.97	230.513	288.181	239.298	163.67	263.601	446.536	146.704	168.017	209.892	366.365	482.392	116.084	280.093	203.377	150.908	162.885
2015-09-01	237.945	243.359	128.54	273.53	80.028	222.31	244.351	214.132	201.641	248.09	243.432	257.83	295.394	160.355	207.239	289.134	239.651	164.286	263.227	447.289	146.57	168.054	210.659	367.176	481.26	116.024	280.814	197.593	148.52	161.189
2015-10-01	237.838	243.985	129.446	275.753	80.202	221.874	244.7	205.604	194.501	248.575	243.779	258.363	297.931	160.632	199.077	295.282	239.395	164.621	261.568	450.065	146.516	169.045	210.636	366.652	481.426	116.1	281.499	195.858	145.821	159.422
2015-11-01	237.336	244.075	127.039	273.752	80.355	220.613	244.865	202.479	189.267	247.87	242.24	258.805	298.037	160.888	190.701	294.765	239.325	164.907	259.141	451.371	146.804	167.498	209.315	370.599	482.478	115.763	281.932	194.404	143.247	157.75
2015-12-01	236.525	243.779	122.792	273.245	80.227	220.848	244.777	201.787	183.378	247.468	241.375	259.097	299.078	161.042	179.496	294.377	239.514	165.079	255.298	451.072	146.817	167.482	208.915	370.324	481.134	115.625	282.394	191.528	142.474	155.746
2016-01-01	236.916	244.528	121.878	274.58	80.342	220.869	244.71	203.169	180.171	248.241	242.017	259.958	306.796	161.392	171.574	297.252	240.424	165.905	251.783	454.175	147.456	168.718	208.81	370.911	485.796	116.062	283.498	190.162	142.668	156.513
2016-02-01	237.111	245.68	125.567	274.801	80.046	219.732	244.864	202.528	172.061	248.459	242.062	260.319	306.778	161.625	154.564	301.007	241.015	166.17	251.29	458.295	148.268	169.248	209.385	372.091	493.075	116.631	284.435	187.345	144.024	155.981
2016-03-01	238.132	246.358	127.427	273.162	80.088	218.131	244.876	202.487	179.017	247.677	240.329	260.883	298.162	161.898	170.356	300.303	241.485	166.668	250.837	458.62	148.227	168.187	209.743	372.672	495.191	117.071	285.196	191.257	146.178	154.822
2016-04-01	239.261	246.992	127.77	273.924	80.039	218.315	245.206	201.778	185.652	248.095	240.635	261.517	296.217	162.125	185.808	300.733	241.79	167.238	250.839	459.994	147.895	168.771	211.009	372.961	497.297	117.515	285.836	195.491	147.489	154.13
2016-05-01	240.229	247.544	127.758	273.074	79.624	216.122	245.419	205.038	192.673	247.58	239.354	262.074	295.974	162.664	198.011	301.713	242.811	167.433	248.989	461.23	147.646	167.053	210.28	376.263	493.293	117.512	286.924	198.613	147.223	154.994
2016-06-01	241.018	247.794	125.472	273.379	79.419	214.815	245.911	213.474	200.035	247.207	238.43	262.529	292.733	163.059	206.681	301.277	244.28	167.624	248.016	462.075	147.245	165.94	210.392	377.678	498.136	117.582	288.069	200.262	146.303	155.914
2016-07-01	240.628	247.744	123.03	273.418	79.156	214.605	246.478	214.193	195.94	247.267	238.207	263.051	291.96	163.364	195.243	302.161	244.936	167.989	246.875	464.164	147.119	166.648	210.486	380.083	502.833	117.358	288.78	197.145	145.457	162.129
2016-08-01	240.849	248.278	124.871	273.104	79.142	215.506	248.58	214.222	193.524	247.42	238.088	263.649	292.156	163.824	189.375	305.972	245.472	168.254	246.547	468.379	146.713	167.044	209.761	382.156	512.061	117.119	289.605	195.198	144.858	164.715
2016-09-01	241.428	248.731	128.429	272.089	78.503	216.693	250.469	214.381	195.852	247.645	238.12	264.102	293.423	164.072	193.817	306.404	246.127	168.537	246.642	469.154	146.499	166.573	209.426	382.134	514.781	116.945	290.445	195.402	142.482	165.881
2016-10-01	241.729	249.218	130.328	272.502	78.113	218.183	251.173	206.397	194.786	247.861	238.145	264.459	295.616	164.143	197.357	307.433	246.264	168.913	244.77	469.23	146.896	166.793	208.985	381.406	515.159	116.713	291.407	196.185	139.914	167.049
2016-11-01	241.353	249.227	127.377	271.896	78.228	216.773	251.155	202.984	191.402	247.246	236.93	264.699	293.554	164.463	192.522	307.403	246.271	168.883	243.633	469.333	147.027	166.258	207.703	384.11	511.311	116.746	291.953	195.411	137.789	167.469
2016-12-01	241.432	249.134	122.637	271.374	78.135	217.929	251.466	203.146	193.306	247.134	236.464	265.104	291.957	164.876	195.915	307.465	246.795	169.009	241.612	469.447	147.299	165.965	208.301	384.519	511.191	116.559	292.612	196.252	137.475	167.935
2017-01-01	242.839	250.083	123.088	272.922	78.19	219.804	251.122	205.23	199.608	248.074	237.365	266.079	291.679	165.361	206.36	309.929	247.942	169.832	242.596	471.7	148.848	167.074	208.804	384.882	515.468	117.337	293.56	199.292	137.397	172.319
2017-02-01	243.603	251.143	126.1	271.708	77.874	220.552	251.356	206.416	198.195	248.595	237.918	266.626	292.222	165.849	201.957	313.974	248.693	170.057	243.057	474.546	148.993	169.451	208.914	385.353	518.618	118.375	294.444	199.147	137.899	172.967
2017-03-01	243.801	251.29	128.25	272.174	75.275	218.567	251.113	205.692	198.597	248.967	238.256	267.055	292.932	166.073	204.217	314.529	248.978	170.381	244.306	474.561	148.543	168.455	210.002	383.965	518.47	118.573	295.044	200.091	139.372	170.755
