DATE	Weekly Gas Price
2014-01-06	3.393
2014-01-13	3.392
2014-01-20	3.378
2014-01-27	3.375
2014-02-03	3.378
2014-02-10	3.383
2014-02-17	3.411
2014-02-24	3.458
2014-03-03	3.509
2014-03-10	3.562
2014-03-17	3.609
2014-03-24	3.622
2014-03-31	3.657
2014-04-07	3.68
2014-04-14	3.724
2014-04-21	3.773
2014-04-28	3.814
2014-05-05	3.818
2014-05-12	3.821
2014-05-19	3.821
2014-05-26	3.831
2014-06-02	3.851
2014-06-09	3.856
2014-06-16	3.872
2014-06-23	3.907
2014-06-30	3.923
2014-07-07	3.933
2014-07-14	3.9
2014-07-21	3.875
2014-07-28	3.854
2014-08-04	3.843
2014-08-11	3.826
2014-08-18	3.806
2014-08-25	3.787
2014-09-01	3.768
2014-09-08	3.755
2014-09-15	3.716
2014-09-22	3.658
2014-09-29	3.616
2014-10-06	3.567
2014-10-13	3.483
2014-10-20	3.367
2014-10-27	3.267
2014-11-03	3.184
2014-11-10	3.141
2014-11-17	3.106
2014-11-24	3.062
2014-12-01	3.018
2014-12-08	2.927
2014-12-15	2.81
2014-12-22	2.667
2014-12-29	2.566
2015-01-05	2.484
2015-01-12	2.369
2015-01-19	2.265
2015-01-26	2.197
2015-02-02	2.192
2015-02-09	2.268
2015-02-16	2.374
2015-02-23	2.466
2015-03-02	2.686
2015-03-09	2.792
2015-03-16	2.756
2015-03-23	2.722
2015-03-30	2.694
2015-04-06	2.677
2015-04-13	2.666
2015-04-20	2.695
2015-04-27	2.802
2015-05-04	2.962
2015-05-11	3.001
2015-05-18	3.058
2015-05-25	3.075
2015-06-01	3.067
2015-06-08	3.065
2015-06-15	3.087
2015-06-22	3.124
2015-06-29	3.121
2015-07-06	3.121
2015-07-13	3.142
2015-07-20	3.156
2015-07-27	3.143
2015-08-03	3.119
2015-08-10	3.067
2015-08-17	3.04
2015-08-24	3.0
2015-08-31	2.915
2015-09-07	2.853
2015-09-14	2.775
2015-09-21	2.697
2015-09-28	2.625
2015-10-05	2.568
2015-10-12	2.526
2015-10-19	2.487
2015-10-26	2.45
2015-11-02	2.419
2015-11-09	2.464
2015-11-16	2.453
2015-11-23	2.41
2015-11-30	2.375
2015-12-07	2.357
2015-12-14	2.337
2015-12-21	2.348
2015-12-28	2.36
2016-01-04	2.361
2016-01-11	2.329
2016-01-18	2.264
